id|arrl_section_id|dxcc_entity_id
1|1|285
2|2|6
3|3|1
4|4|285
5|5|285
6|6|1
7|7|285
8|8|285
9|9|285
10|10|285
11|11|285
12|12|285
13|13|285
14|14|285
15|15|285
16|16|1
17|17|285
18|18|285
19|19|285
20|20|285
21|21|285
22|22|285
23|23|285
24|24|285
25|25|285
26|26|1
27|27|1
28|28|285
29|29|285
30|30|285
31|31|285
32|32|285
33|33|285
34|34|285
35|35|285
36|36|285
37|37|285
38|38|285
39|39|285
40|40|285
41|41|285
42|42|285
43|43|285
44|44|285
45|45|285
46|46|1
47|47|1
48|48|285
49|49|285
50|50|1
51|51|1
52|52|1
53|53|1
54|54|285
55|55|285
56|56|10
57|56|21
58|56|100
59|56|107
60|56|119
61|56|130
62|56|134
63|56|161
64|56|169
65|56|192
66|56|291
67|56|396
68|57|44
69|57|197
70|58|1
71|59|285
72|60|285
73|61|285
74|62|285
75|63|285
76|64|285
77|65|285
78|66|1
79|67|285
80|68|285
81|69|285
82|70|285
83|71|285
84|72|285
85|73|102
86|73|177
87|73|280
88|74|285
89|75|285
90|76|285
91|77|285
92|78|285
93|79|285
94|80|285
95|81|285
96|82|285
97|83|285
98|84|285
99|85|285
